PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,1981,6.05,7.57,6.14,5.99,4.46,5.75,6.49,5.92,5.15,5.87,6.15,6.14,5.96
WS50M,1982,6.7,5.7,5.85,4.77,4.64,5.02,7.06,6.4,5.04,5.81,6.16,6.23,5.79
WS50M,1983,6.53,5.71,6.27,6.05,4.49,4.26,7.35,6.11,5.58,6.32,5.64,6.56,5.91
WS50M,1984,6.63,6.2,5.95,5.96,5.88,6.16,6.3,6.3,5.58,6.01,6.45,7.15,6.22
WS50M,1985,6.33,6.52,6.35,5.65,4.68,4.93,6.09,5.82,4.92,6.21,6.48,6.87,5.9
WS50M,1986,7.01,5.63,7.48,5.14,5.13,6.94,7.54,6.25,6.48,5.81,5.81,6.23,6.3
WS50M,1987,5.91,5.71,6.04,5.77,4.73,5.22,8.14,6.9,5.05,7.3,6.43,6.61,6.16
WS50M,1988,7.89,7.16,6.69,4.99,4.87,5.47,6.96,6,6.97,6.95,6.43,6.99,6.45
WS50M,1989,6.89,7.96,6.31,5.76,5.95,5.29,6.02,5.6,6.92,5.83,5.82,6.78,6.25
WS50M,1990,7.27,6.95,7.45,6.15,5.51,7.66,6.66,6.96,5.84,6.54,7.86,7.19,6.84
WS50M,1991,6.02,6.79,6.28,5.48,5.05,6.31,6.31,6.3,6.67,6.1,7.09,7.47,6.32
WS50M,1992,6.79,5.76,5.5,5.7,5.62,4.65,7.9,6.93,6.68,6.11,6.72,6.56,6.25
WS50M,1993,6.11,5.77,5.96,6.16,5.26,7.23,7.14,6.9,6.71,7.14,6.71,6.25,6.45
WS50M,1994,6.88,6.52,6.03,5.6,4.97,5.54,6.8,5.65,6.05,5.47,6.21,6.29,6
WS50M,1995,6.66,5.78,5.82,5.97,5.26,5.78,6.73,5.02,5.65,8.12,6.68,6.59,6.18
WS50M,1996,6.66,5.73,6.4,5.93,6.09,6.08,6.2,6.64,5.65,6.03,7.45,6.51,6.28
WS50M,1997,5.8,6.55,5.49,6.04,4.72,5.55,7.28,6.64,5.5,7.35,6.49,6.55,6.16
WS50M,1998,6.31,5.95,7.05,5.85,5.35,6.39,5.82,5.53,4.83,7.48,6.88,6.43,6.16
WS50M,1999,6.57,6.4,5.98,5.69,5.5,6.18,6.66,5.61,5.88,6.92,6.94,6.74,6.26
WS50M,2000,6.14,6.07,5.22,5.96,5.62,6.63,6.26,6.12,5.39,7.1,7.01,7.44,6.25
WS50M,2001,6.42,7.25,5.12,6.43,4.7,6.4,6.38,6.53,5.4,6.8,6.25,6.1,6.14
WS50M,2002,6.1,7.53,6.16,5.55,6.37,5.05,6.59,5.88,5.44,5.9,7.19,6.77,6.2
WS50M,2003,7.2,5.67,6.13,5.29,4.76,5.01,6.92,5.83,4.98,6.37,7.18,7.12,6.05
WS50M,2004,7.11,6.78,7.06,5.74,7.16,6.21,5.8,5.93,4.27,6.02,7.13,6.97,6.35
WS50M,2005,6.66,5.94,5.24,6.25,5.49,5.53,5.78,5.86,5.61,6.62,7.34,5.82,6.01
WS50M,2006,6.8,6.74,6.4,5.4,4.94,6.18,6.54,6.03,4.92,6.3,6.56,7.08,6.16
WS50M,2007,7.33,6.22,6.58,5.47,5.12,5.43,5.64,5.62,5.04,7.01,6.76,5.78,6
WS50M,2008,6.36,5.84,6.71,6.02,5.27,6.75,6.31,4.67,6.51,6.93,6.33,6.52,6.18
WS50M,2009,6.17,6.48,6.98,6.41,5.5,5.25,7.11,6.38,5.51,5.74,6.84,6.71,6.26
WS50M,2010,7.75,6.3,6.6,5.1,6.82,5.91,5.75,5.86,6.36,5.87,6.77,6.55,6.31
WS50M,2011,5.93,6.4,5.99,5.52,5.95,5.94,6.1,4.95,6.28,6.62,6.63,6.8,6.09
WS50M,2012,6.78,6.25,6.52,5.29,5.45,4.99,7.19,5.54,5.62,5.94,6.73,6.03,6.03
WS50M,2013,7.27,5.82,6.9,5.24,5.65,6.47,6.33,5.56,5.14,6.17,7.23,7.26,6.26
WS50M,2014,7.3,5.59,5.53,6.05,6.58,6.23,6.67,5.63,5.42,6.35,7.66,6.57,6.3
WS50M,2015,7.09,6.29,6.1,5.69,6.87,6.89,7.14,6.11,5.48,6,6.9,6.93,6.46
WS50M,2016,6.7,7.63,5.52,5.67,5.08,5.2,7.28,5.99,4.86,5.48,5.99,6.32,5.97
WS50M,2017,6.6,5.3,6.62,6.34,4.77,4.73,6.81,5.6,5.06,6.42,6.01,6.81,5.93
WS50M,2018,7.58,6.39,5.73,5.58,5.16,6.04,6.64,6.96,5.72,6.38,6.88,6.58,6.31
WS50M,2019,6.8,5.31,6.48,5.84,5.26,5.88,5.97,5.3,4.78,5.25,6.91,6.14,5.83
WS50M,2020,6.73,6.7,5.64,4.92,5.26,7.07,5.99,5,5.11,6.9,7.75,6.99,6.17
WS50M,2021,7.1,6.15,6.65,5.61,6.05,4.51,6.17,5.83,4.81,5.46,6.21,5.56,5.85
WS50M,2022,6.69,7.11,6.06,5.92,5.14,5.92,6.6,5.65,5.86,5.8,5.64,6.1,6.03
WS50M,2023,5.84,7.07,5.8,4.87,4.78,4.85,6.71,5.37,4.8,6.27,7.23,6.51,5.84
WS50M,2024,6.11,5.93,5.63,5.85,5.11,4.86,6.56,5.12,4.73,6.67,5.26,6,5.66
